MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20251230,17039,De Witt County,IL,0.00,100.00,100.00,99.27,1.33,0.00,2025-12-30,2026-01-05,1
20251223,17039,De Witt County,IL,0.00,100.00,100.00,99.27,1.33,0.00,2025-12-23,2025-12-29,1
20251216,17039,De Witt County,IL,0.00,100.00,100.00,99.27,1.33,0.00,2025-12-16,2025-12-22,1
20251209,17039,De Witt County,IL,0.00,100.00,100.00,100.00,1.33,0.00,2025-12-09,2025-12-15,1
20251202,17039,De Witt County,IL,0.00,100.00,100.00,100.00,1.33,0.00,2025-12-02,2025-12-08,1
20251125,17039,De Witt County,IL,0.00,100.00,100.00,100.00,27.68,0.00,2025-11-25,2025-12-01,1
20251118,17039,De Witt County,IL,0.00,100.00,100.00,100.00,27.68,0.00,2025-11-18,2025-11-24,1
20251111,17039,De Witt County,IL,0.00,100.00,100.00,100.00,0.01,0.00,2025-11-11,2025-11-17,1
20251104,17039,De Witt County,IL,0.00,100.00,100.00,100.00,0.01,0.00,2025-11-04,2025-11-10,1
20251028,17039,De Witt County,IL,0.00,100.00,100.00,100.00,0.01,0.00,2025-10-28,2025-11-03,1
20251021,17039,De Witt County,IL,0.00,100.00,100.00,100.00,0.01,0.00,2025-10-21,2025-10-27,1
20251014,17039,De Witt County,IL,0.00,100.00,100.00,100.00,0.01,0.00,2025-10-14,2025-10-20,1
20251007,17039,De Witt County,IL,0.00,100.00,100.00,60.17,0.00,0.00,2025-10-07,2025-10-13,1
20250930,17039,De Witt County,IL,0.00,100.00,100.00,31.76,0.00,0.00,2025-09-30,2025-10-06,1
20250923,17039,De Witt County,IL,0.00,100.00,100.00,31.76,0.00,0.00,2025-09-23,2025-09-29,1
20250916,17039,De Witt County,IL,0.00,100.00,100.00,31.76,0.00,0.00,2025-09-16,2025-09-22,1
20250909,17039,De Witt County,IL,0.00,100.00,73.87,2.36,0.00,0.00,2025-09-09,2025-09-15,1
20250902,17039,De Witt County,IL,0.00,100.00,14.59,2.36,0.00,0.00,2025-09-02,2025-09-08,1
20250826,17039,De Witt County,IL,48.98,51.02,14.59,0.00,0.00,0.00,2025-08-26,2025-09-01,1
20250819,17039,De Witt County,IL,48.98,51.02,14.59,0.00,0.00,0.00,2025-08-19,2025-08-25,1
20250812,17039,De Witt County,IL,48.98,51.02,14.59,0.00,0.00,0.00,2025-08-12,2025-08-18,1
20250805,17039,De Witt County,IL,49.59,50.41,14.59,0.00,0.00,0.00,2025-08-05,2025-08-11,1
20250729,17039,De Witt County,IL,50.59,49.41,14.59,0.00,0.00,0.00,2025-07-29,2025-08-04,1
20250722,17039,De Witt County,IL,0.34,99.66,14.59,0.00,0.00,0.00,2025-07-22,2025-07-28,1
20250715,17039,De Witt County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2025-07-15,2025-07-21,1
20250708,17039,De Witt County,IL,0.00,100.00,0.00,0.00,0.00,0.00,2025-07-08,2025-07-14,1
20250701,17039,De Witt County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2025-07-01,2025-07-07,1
20250624,17039,De Witt County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2025-06-24,2025-06-30,1
20250617,17039,De Witt County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2025-06-17,2025-06-23,1
20250610,17039,De Witt County,IL,100.00,0.00,0.00,0.00,0.00,0.00,2025-06-10,2025-06-16,1
20250603,17039,De Witt County,IL,29.52,70.48,0.00,0.00,0.00,0.00,2025-06-03,2025-06-09,1
20250527,17039,De Witt County,IL,26.37,73.63,0.00,0.00,0.00,0.00,2025-05-27,2025-06-02,1
20250520,17039,De Witt County,IL,26.37,73.63,0.00,0.00,0.00,0.00,2025-05-20,2025-05-26,1
20250513,17039,De Witt County,IL,26.37,73.63,0.00,0.00,0.00,0.00,2025-05-13,2025-05-19,1
20250506,17039,De Witt County,IL,99.50,0.50,0.00,0.00,0.00,0.00,2025-05-06,2025-05-12,1
